ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
3750,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,2,182,58
3751,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,3,183,388
3752,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,DELETE,http://localhost:3000/api/Cliente?nome=zj%7B%7B%3D7520*2552%7D%7Dzj&numeroCelular=numeroCelular&endereco=endereco,400,Bad Request,6,182,37
3753,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,3,182,46
3754,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,3,183,388
3755,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Cliente/zj%7B%232495*3108%7Dzj,400,Bad Request,1,183,255
3756,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Produto,400,Bad Request,1,182,67
3757,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,3,182,46
3758,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,2,183,388
3759,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:26 BRT 2024,DELETE,http://localhost:3000/api/Cliente?nome=zj%3C%25%3D3707*9077%25%3Ezj&numeroCelular=numeroCelular&endereco=endereco,400,Bad Request,4,182,37
3760,Sun Jun 23 11:50:26 BRT 2024,Sun Jun 23 11:50:26 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,4,183,388
3761,Sun Jun 23 11:50:26 BRT 2024,Sun Jun 23 11:50:26 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,4,182,46
3762,Sun Jun 23 11:50:26 BRT 2024,Sun Jun 23 11:50:26 BRT 2024,DELETE,http://localhost:3000/api/Cliente?nome=zj%23set%28%24x%3D8619*1483%29%24%7Bx%7Dzj&numeroCelular=numeroCelular&endereco=endereco,400,Bad Request,4,182,37
3763,Sun Jun 23 11:50:26 BRT 2024,Sun Jun 23 11:50:26 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,2,183,388
3764,Sun Jun 23 11:50:26 BRT 2024,Sun Jun 23 11:50:26 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,3,182,46
3765,Sun Jun 23 11:50:26 BRT 2024,Sun Jun 23 11:50:26 BRT 2024,DELETE,http://localhost:3000/api/Cliente?nome=zj%3Cp+th%3Atext%3D%22%24%7B5615*8093%7D%22%3E%3C%2Fp%3Ezj&numeroCelular=numeroCelular&endereco=endereco,400,Bad Request,3,182,37
3766,Sun Jun 23 11:50:26 BRT 2024,Sun Jun 23 11:50:26 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,3,183,388
